rho,T,invB,B,mu,E_ref,active_level_count,density_residual,active_vs_labeled_spectrum_error,below_branch,below_n,below_E,below_E_minus_mu,above_branch,above_n,above_E,above_E_minus_mu,nearest_LLplus_branch,nearest_LLplus_n,nearest_LLplus_E,nearest_LLplus_E_minus_mu,nearest_LLTRplus_branch,nearest_LLTRplus_n,nearest_LLTRplus_E,nearest_LLTRplus_E_minus_mu,fermi_bracketing_spacing,nearest_LLplus_LLTRplus_energy_difference,nearest_LLplus_LLTRplus_abs_splitting,nearest_LLplus_LLTRplus_n_difference
0.01,0.0002,14.505005561735262,0.06894171779141105,0.16223612684284264,0.14406370722028117,15,-1.6320972351380192e-13,0.0,LL0,0,0.1617700153374233,-0.00046611150541933655,LLTR+,1,0.22583885721681204,0.06360273037396941,LL+,1,0.34470101536157305,0.1824648885187304,LLTR+,1,0.22583885721681204,0.06360273037396941,0.06406884187938874,-0.118862158144761,0.118862158144761,0
0.01,0.0002,14.60511679644049,0.06846915460776846,0.16172531871980403,0.1438002532454004,15,1.0329393590469138e-12,0.0,LL0,0,0.16124310738766184,-0.00048221133214218503,LLTR+,1,0.22525101447030488,0.06352569575050085,LL+,1,0.3431302701949357,0.18140495147513166,LLTR+,1,0.22525101447030488,0.06352569575050085,0.06400790708264303,-0.11787925572463082,0.11787925572463082,0
0.01,0.0002,14.705228031145719,0.06800302571860817,0.16122284621241403,0.14354038638969357,15,1.3631248907408633e-12,0.0,LL0,0,0.16072337367624812,-0.000499472536165918,LLTR+,1,0.22467074309897483,0.0634478968865608,LL+,1,0.3415810375156888,0.18035819130327477,LLTR+,1,0.22467074309897483,0.0634478968865608,0.06394736942272672,-0.11691029441671397,0.11691029441671397,0
0.01,0.0002,14.805339265850947,0.06754320060105183,0.16072876630869737,0.1432840338866559,15,-2.876344995517144e-14,0.0,LL0,0,0.1602106686701728,-0.0005180976385245617,LLTR+,1,0.2240978932219321,0.06336912691323474,LL+,1,0.34005288072518125,0.17932411441648388,LLTR+,1,0.2240978932219321,0.06336912691323474,0.0638872245517593,-0.11595498750324915,0.11595498750324915,0
0.01,0.0002,14.905450500556174,0.06708955223880597,0.1602431973972458,0.14303112492470382,15,5.2136576306205384e-12,0.0,LL0,0,0.15970485074626867,-0.0005383466509771284,LLTR+,1,0.22353231893603717,0.06328912153879138,LL+,1,0.338545374954353,0.1783021775571072,LLTR+,1,0.22353231893603717,0.06328912153879138,0.0638274681897685,-0.11501305601831582,0.11501305601831582,0
0.01,0.0002,15.005561735261402,0.06664195700518903,0.15976634319906444,0.14278159058196238,15,-7.876338470325095e-14,0.0,LL0,0,0.15920578206078578,-0.0005605611382786535,LLTR+,1,0.22297387818409267,0.06320753498502824,LL+,1,0.33705810667246017,0.17729176347339573,LLTR+,1,0.22297387818409267,0.06320753498502824,0.06376809612330689,-0.1140842284883675,0.1140842284883675,0
0.01,0.0002,15.10567296996663,0.06620029455081002,0.15929853082239548,0.1425353637636461,15,3.323383235276367e-14,0.0,LL0,0,0.15871332842415317,-0.0005852023982423071,LLTR+,1,0.22242243262825648,0.063123901805861,LL+,1,0.33559067331135994,0.17629214248896447,LLTR+,1,0.22242243262825648,0.063123901805861,0.0637091042041033,-0.11316824068310347,0.11316824068310347,0
0.01,0.0002,15.205784204671858,0.06576444769568399,0.158840274100092,0.14229237914191334,15,2.654942238278224e-12,0.0,LL0,0,0.15822735918068764,-0.0006129149194043504,LLTR+,1,0.2218778475284355,0.06303757342834351,LL+,1,0.33414268290463656,0.17530240880454456,LLTR+,1,0.2218778475284355,0.06303757342834351,0.06365048834774786,-0.11226483537620105,0.11226483537620105,0
0.01,0.0002,15.305895439377085,0.06533430232558139,0.15839238553414658,0.14205257309808111,15,2.8102520310824275e-15,0.0,LL0,0,0.15774774709302325,-0.0006446384411233352,LLTR+,1,0.2213399916254333,0.06294760609128672,LL+,1,0.33271375374088963,0.17432136820674304,LLTR+,1,0.2213399916254333,0.06294760609128672,0.06359224453241005,-0.11137376211545633,0.11137376211545633,0
0.01,0.0002,15.406006674082313,0.06490974729241877,0.15795618966760558,0.14181588366709297,15,3.3148189054754695e-12,0.0,LL0,0,0.15727436823104693,-0.0006818214365586495,LLTR+,1,0.2208087370286352,0.06285254736102963,LL+,1,0.3313035140305406,0.173347324362935,LLTR+,1,0.2208087370286352,0.06285254736102963,0.06353436879758828,-0.11049477700190538,0.11049477700190538,0
0.01,0.0002,15.506117908787541,0.0644906743185079,0.15753397284545811,0.14158225048413767,15,-7.7021722333370235e-16,0.0,LL0,0,0.1568071018651363,-0.0007268709803218143,LLTR+,1,0.22028395910802684,0.06274998626256872,LL+,1,0.3299116015855462,0.1723776287400881,LLTR+,1,0.22028395910802684,0.06274998626256872,0.06347685724289054,-0.10962764247751938,0.10962764247751938,0
0.01,0.0002,15.60622914349277,0.06407697790449038,0.1571300756371971,0.1413516147333229,15,2.260015091737344e-13,0.0,LL0,0,0.15634583036350677,-0.0007842452736903371,LLTR+,1,0.21976553639035126,0.06263546075315415,LL+,1,0.3285376635114391,0.17140758787424198,LLTR+,1,0.21976553639035126,0.06263546075315415,0.06341970602684449,-0.10877212712108783,0.10877212712108783,0
0.01,0.0002,15.706340378197998,0.06366855524079319,0.15675418894616852,0.1411239190983117,15,8.634586101674557e-14,0.0,LL0,0,0.1558904390934844,-0.0008637498526841147,LLTR+,1,0.2192533504592218,0.06249916151305329,LL+,1,0.3271813559111463,0.17042716696497776,LLTR+,1,0.2192533504592218,0.06249916151305329,0.0633629113657374,-0.10792800545192446,0.10792800545192446,0
0.01,0.0002,15.806451612903226,0.06326530612244897,0.15643610311775263,0.14089910771483483,15,3.4861696862620306e-13,0.0,LL0,0,0.15544081632653062,-0.0009952867912220165,LLTR+,1,0.21874728585901412,0.06231118274126149,LL+,1,0.32584234360006326,0.16940624048231062,LLTR+,1,0.21874728585901412,0.06231118274126149,0.0633064695324835,-0.10709505774104913,0.10709505774104913,0
